,0
Abstract Art,0.9878031637318027
Art Nouveau (Modern),0.9809761755845069
Baroque,0.9774502777972051
Conceptual Art,0.9997191721877043
Cubism,0.9997336232168559
Expressionism,0.9277290497037217
Impressionism,0.9239250238049035
Minimalism,0.9999167566723636
Naïve Art (Primitivism),0.9981802954986442
Neo-Expressionism,0.9992621735652608
Neoclassicism,0.9985033843172412
Pop Art,0.9995521569788662
Realism,0.8827313205848265
Renaissance,0.992366454968338
Romanticism,0.9160862249101548
Surrealism,0.9851240754607189
Symbolism,0.9904714552861665
Ukiyo-e,0.999748187737133
micro,0.9783806483135788
macro,0.9755176072085596
